377
AT2G38195.2	2262	6653	6653	1	10	0	0
AT2G38195.1	3614	6653	6653	1	11	10	0
AT2G38210.1	7011	7689	6653	1	1	21	1
AT2G38220.1	7890	10931	7689	1	11	22	2
AT2G38230.1	11455	12507	10931	1	1	33	3
AT2G38240.1	12534	14752	12507	2	3	34	4
AT2G38250.1	18356	19499	14752	1	2	37	5
AT2G38255.1	21749	24853	19499	2	7	39	6
AT2G38270.1	31261	33075	24853	2	2	46	7
AT2G38280.1	33447	38875	33075	2	20	48	8
AT2G38280.2	33448	38875	38875	2	20	68	8
AT2G38290.1	39474	42382	38875	2	5	88	9
AT2G38290.2	39478	42382	42382	2	4	93	9
AT2G38300.1	43959	45991	42382	2	5	97	10
AT2G38304.1	47923	48114	45991	2	1	102	11
AT2G38310.1	50062	51167	48114	1	1	103	12
AT2G38320.1	55288	57979	51167	1	5	104	13
AT2G38325.1	61953	62059	57979	1	1	109	14
AT2G38330.1	64502	67436	62059	1	13	110	15
AT2G38340.1	67395	68290	67436	2	1	123	16
AT2G38350.1	68340	69307	68290	1	2	124	17
AT2G38360.1	69614	70588	69307	2	1	126	18
AT2G38365.1	70880	72006	70588	1	1	127	19
AT2G38370.1	72069	74257	72006	2	2	128	20
AT2G38380.1	76383	78582	74257	1	4	130	21
AT2G38390.1	79680	81508	78582	1	4	134	22
AT2G38400.1	83688	86348	81508	1	7	138	23
AT2G38400.2	83690	86158	86348	1	7	145	23
AT2G38410.1	86629	90207	86348	2	9	152	24
AT2G38420.1	91092	92548	90207	1	1	161	25
AT2G38430.1	92938	95030	92548	2	8	162	26
AT2G38440.1	95328	101220	95030	1	9	170	27
AT2G38450.1	101974	102915	101220	1	3	179	28
AT2G38460.1	103310	106176	102915	1	8	182	29
AT2G38465.1	106262	106912	106176	2	2	190	30
AT2G38470.1	108360	110765	106912	1	5	192	31
AT2G38480.1	110740	111796	110765	2	3	197	32
AT2G38490.1	113490	115284	111796	2	1	200	33
AT2G38500.1	117394	119107	115284	2	3	201	34
AT2G38510.1	123984	125444	119107	1	1	204	35
AT2G38520.1	125918	126577	125444	1	1	205	36
AT2G38530.1	128377	129157	126577	1	2	206	37
AT2G38540.1	130349	131173	129157	1	2	208	38
AT2G38544.1	131507	131647	131173	1	1	210	39
AT2G38550.1	132005	134414	131647	1	6	211	40
AT2G38560.1	134637	136694	134414	1	2	217	41
AT2G38570.1	136688	138885	136694	2	8	219	42
AT2G38580.1	138569	142587	138885	1	16	227	43
AT2G38590.1	142896	144183	142587	1	1	243	44
AT2G38600.1	145906	146856	144183	1	3	244	45
AT2G38610.2	147112	149787	146856	2	7	247	46
AT2G38610.1	147112	149872	149787	2	8	254	46
AT2G38620.1	152504	154023	149872	1	2	262	47
AT2G38620.2	152531	154085	154023	1	4	264	47
AT2G38630.1	154066	156578	154085	2	8	268	48
AT2G38640.1	157603	158560	156578	2	2	276	49
AT2G38646.1	160575	160808	158560	1	1	278	50
AT2G38650.2	161487	165795	160808	2	11	279	51
AT2G38650.1	161807	165774	165795	2	10	290	51
AT2G38660.2	165951	168385	165795	1	6	300	52
AT2G38660.3	165951	168385	168385	1	6	306	52
AT2G38660.1	165957	168385	168385	1	6	312	52
AT2G38660.4	165957	168385	168385	1	7	318	52
AT2G38670.1	168836	171917	168385	1	9	325	53
AT2G38680.1	174010	176079	171917	2	11	334	54
AT2G38690.1	176630	177753	176079	2	3	345	55
AT2G38695.1	177940	180402	177753	1	9	348	56
AT2G38695.2	177945	180035	180402	1	10	357	56
AT2G38695.3	177945	180402	180402	1	10	367	56
AT2G38700.1	180695	183945	180402	2	9	377	57
AT2G38710.2	184368	187134	183945	2	5	386	58
AT2G38710.1	184368	187172	187134	2	6	391	58
AT2G38720.1	188046	192265	187172	1	12	397	59
AT2G38730.1	192355	194102	192265	2	6	409	60
AT2G38740.1	194326	196112	194102	2	4	415	61
AT2G38750.1	196264	198490	196112	2	6	419	62
AT2G38760.1	200993	202668	198490	1	6	425	63
AT2G38770.1	202962	210337	202668	2	14	431	64
AT2G38780.1	210856	214231	210337	1	7	445	65
AT2G38790.1	214188	215263	214231	2	1	452	66
AT2G38800.1	216998	219158	215263	1	2	453	67
AT2G38810.2	219268	220927	219158	2	3	455	68
AT2G38810.3	219284	220828	220927	2	2	458	68
AT2G38810.1	219284	220881	220927	2	3	460	68
AT2G38820.2	221835	223661	220927	1	3	463	69
AT2G38820.1	221902	223661	223661	1	4	466	69
AT2G38823.1	224071	225295	223661	1	5	470	70
AT2G38830.1	225776	226871	225295	1	1	475	71
AT2G38840.1	227050	232455	226871	1	17	476	72
AT2G38860.2	233314	235233	232455	2	4	493	73
AT2G38860.3	233314	235233	235233	2	4	497	73
AT2G38860.1	233314	235234	235233	2	4	501	73
AT2G38870.1	236380	237279	235234	2	2	505	74
AT2G38880.1	238475	240833	237279	1	7	507	75
AT2G38880.5	238476	240753	240833	1	7	514	75
AT2G38880.7	238488	240612	240833	1	6	521	75
AT2G38880.2	238491	240475	240833	1	6	527	75
AT2G38880.4	238491	240475	240833	1	5	533	75
AT2G38880.8	238491	240753	240833	1	7	538	75
AT2G38880.3	238491	240754	240833	1	6	545	75
AT2G38880.6	238491	240754	240833	1	5	551	75
AT2G38890.2	241188	242916	240833	1	7	556	76
AT2G38890.1	241233	242916	242916	1	6	563	76
AT2G38900.1	243214	244066	242916	1	2	569	77
AT2G38900.2	243214	244066	244066	1	2	571	77
AT2G38905.1	244098	244502	244066	2	2	573	78
AT2G38910.1	245213	247482	244502	2	7	575	79
AT2G38920.1	248145	251001	247482	2	7	582	80
AT2G38920.2	248145	251001	251001	2	7	589	80
AT2G38920.3	248145	251001	251001	2	7	596	80
AT2G38940.1	257227	260224	251001	1	2	603	81
AT2G38950.1	260852	265218	260224	1	8	605	82
AT2G38960.3	265398	268333	265218	1	10	613	83
AT2G38960.1	265408	268166	268333	1	10	623	83
AT2G38960.2	265454	267791	268333	1	9	633	83
AT2G38970.1	273900	276871	268333	1	2	642	84
AT2G38990.1	280084	280391	276871	1	1	644	85
AT2G38995.1	282119	284867	280391	1	7	645	86
